,0,1,2,3,4,5,6,Y
0,0.0911254,0.27173817,0.80035764,0.31715688,0.45129216,0.12825191,0.5619696,0.44614964
1,0.98465663,0.81343126,0.5465088,0.3651713,0.49550426,0.964438,0.5756287,0.534846705
2,0.6184895,0.018918633,0.1627515,0.32726902,0.7569136,0.5052235,0.58587015,0.462753631
3,0.08173451,0.29224762,0.99999994,0.483658,0.08223936,0.14897648,0.2630753,0.408774386
4,0.026911616,0.62340194,0.17900836,0.029882252,0.18909381,0.0030527115,0.46386716,0.42274971299999997
5,0.87011635,0.39274132,0.469026,0.0,0.27478355,0.83253133,0.4731994,0.575523021
6,0.017810822,0.69921815,0.05519733,0.4139625,0.7836519,0.0,0.54505223,0.437542359
7,1.0,0.9396014,0.50180167,0.7942516,0.55204976,0.9393989,0.4919408,0.519823379
8,0.75556386,0.14964238,0.23040979,0.31630152,0.5680193,0.8055521,0.0,0.502051504
9,0.020641208,0.5530995,0.4516743,0.43923965,0.5727048,0.051860362,0.3975164,0.42658319
10,0.010537893,0.87388587,0.0,0.4455132,0.033032507,0.020882845,0.27552694,0.477741381
11,0.8426383,0.3709935,0.41348982,0.15128805,0.3677833,0.8599166,0.10262182,0.5556332429999999
12,0.460439,0.0,0.42392427,0.789795,0.34370863,0.30859628,0.55124444,0.38208560700000005
13,0.5685928,0.05604109,0.2995034,0.7513427,0.0675579,0.3371927,0.5001162,0.437747567
14,0.42817554,0.017076999,0.43504137,0.21993811,0.52574414,0.39443585,0.8141727,0.462656279
15,0.67470956,0.09389189,0.27244663,0.443979,0.0,0.4353971,0.45418072,0.44711186700000005
16,0.45821625,0.014634013,0.45087305,0.61461914,0.5345093,0.3369517,0.62136275,0.413769745
17,0.69097817,0.08265993,0.23467001,0.52660847,0.23667428,0.49437153,0.4621505,0.49426824
18,0.041408807,0.44136336,0.5667157,0.33620432,0.5309355,0.07983944,0.39280933,0.416847746
19,0.52811015,0.008099586,0.19419904,0.2506649,0.7556512,0.45707464,0.7511176,0.47462486600000003
20,0.9834825,0.7290241,0.4178149,0.12962273,0.5142422,0.84808064,1.0,0.540557155
21,0.062320143,0.3979313,0.61089855,0.4695813,1.0,0.11431235,0.47018835,0.41103564299999995
22,0.6365795,0.030043632,0.1709378,0.35385063,0.67177,0.6142225,0.41583237,0.53013945
23,0.99099267,1.0,0.53083265,0.9999999,0.60046995,1.0,0.43335795,0.505238313
24,0.0,0.7750948,0.09300992,0.39262286,0.19360489,0.035623282,0.50047666,0.443438826
25,0.72282356,0.08557609,0.2642936,0.24011058,0.49416962,0.6206206,0.12521058,0.501760677
26,0.7810343,0.14251919,0.2762093,0.13936575,0.2365154,0.72726417,0.30833024,0.540471128
27,0.62385976,0.061967492,0.19149901,0.67721045,0.34650087,0.4556253,0.5075875,0.473801835
